 "y","U","k","epsilon","nut","tau_mu","tau_R","Pk","Tk","Dk","Peps","Teps","Deps","epsEps"
  0.1000000000E+01,  0.9381297189E+00,  0.2181011069E-01,  0.4640989820E-01,  0.1684630574E-03,  0.9355104665E+00,  0.1575989534E-03,  0.1474354704E-03,  0.2999974738E-04,  0.4623248600E-01,  0.4549071135E-03,  0.2345003228E-05,  0.2638348233E-02, -0.3095534366E-02
  0.1100000000E+01,  0.1031653429E+01,  0.2646479058E-01,  0.4694170100E-01,  0.2236140065E-03,  0.9349589269E+00,  0.2090699116E-03,  0.1954717802E-03,  0.4006114797E-04,  0.4670619641E-01,  0.5027388315E-03,  0.2986686609E-05,  0.2601622279E-02, -0.3107277972E-02
  0.1200000000E+01,  0.1125121504E+01,  0.3158653244E-01,  0.4749952003E-01,  0.2896402694E-03,  0.9343972976E+00,  0.2706390850E-03,  0.2528844296E-03,  0.5223168761E-04,  0.4719443826E-01,  0.5514134586E-03,  0.3731270817E-05,  0.2566536773E-02, -0.3121607793E-02
  0.1300000000E+01,  0.1218532889E+01,  0.3718021868E-01,  0.4808300443E-01,  0.3675644954E-03,  0.9338246426E+00,  0.3432407835E-03,  0.3205267020E-03,  0.6675538744E-04,  0.4769576342E-01,  0.6010517609E-03,  0.4586578921E-05,  0.2532865445E-02, -0.3138426146E-02
  0.1400000000E+01,  0.1311886433E+01,  0.4325086255E-01,  0.4869181749E-01,  0.4584424819E-03,  0.9332399982E+00,  0.4278368609E-03,  0.3992744713E-03,  0.8389437754E-04,  0.4820869721E-01,  0.6517795920E-03,  0.5560890104E-05,  0.2500384290E-02, -0.3157643157E-02
  0.1500000000E+01,  0.1405180888E+01,  0.4980359339E-01,  0.4932563438E-01,  0.5633709707E-03,  0.9326423664E+00,  0.5254236353E-03,  0.4900323425E-03,  0.1039314871E-03,  0.4873172743E-01,  0.7037278648E-03,  0.6663016879E-05,  0.2468871193E-02, -0.3179176436E-02
  0.1600000000E+01,  0.1498414906E+01,  0.5684364151E-01,  0.4998413999E-01,  0.6834956421E-03,  0.9320307074E+00,  0.6370389268E-03,  0.5937398416E-03,  0.1271728914E-03,  0.4926329328E-01,  0.7570325040E-03,  0.7902373054E-05,  0.2438105742E-02, -0.3202950906E-02
  0.1700000000E+01,  0.1591587030E+01,  0.6437632256E-01,  0.5066702665E-01,  0.8200192458E-03,  0.9314039330E+00,  0.7637691507E-03,  0.7113775908E-03,  0.1539507902E-03,  0.4980177431E-01,  0.8118343761E-03,  0.9289031584E-05,  0.2407869219E-02, -0.3228898788E-02
  0.1800000000E+01,  0.1684695693E+01,  0.7240702135E-01,  0.5137399201E-01,  0.9742098132E-03,  0.9307608992E+00,  0.9067564018E-03,  0.8439734039E-03,  0.1846260921E-03,  0.5034547949E-01,  0.8682791951E-03,  0.1083377150E-04,  0.2377944802E-02, -0.3256959753E-02
  0.1900000000E+01,  0.1777739210E+01,  0.8094117494E-01,  0.5210473681E-01,  0.1147408899E-02,  0.9301003995E+00,  0.1067205475E-02,  0.9926082390E-03,  0.2195910751E-03,  0.5089263636E-01,  0.9265174009E-03,  0.1254811313E-04,  0.2348117987E-02, -0.3287081254E-02
